"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Total revenue and total passenger trips","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-04","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-04","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-04","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-05","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","307.6","","","","1"
"2017-05","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","144.5","","","","1"
"2017-05","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-05","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-05","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-05","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-05","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-05","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-05","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-05","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-06","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","340.4","","","","1"
"2017-06","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","153.1","","","","1"
"2017-06","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-06","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-06","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-06","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-06","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-06","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-06","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-06","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-07","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","307.3","","","","1"
"2017-07","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","135.6","","","","1"
"2017-07","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-07","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-07","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-07","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-07","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-07","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-07","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-07","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-08","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","303.5","","","","1"
"2017-08","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","132.2","","","","1"
"2017-08","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-08","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-08","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
"2017-08","Atlantic","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673364","2.1.2","","..","","","1"
"2017-08","Quebec and Ontario","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673365","3.1.1","","..","","","1"
"2017-08","Quebec and Ontario","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673366","3.1.2","","..","","","1"
"2017-08","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673367","4.1.1","","..","","","1"
"2017-08","Prairies, British Columbia and Territories","","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673368","4.1.2","","..","","","1"
"2017-09","Canada","2016A000011124","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673359","1.1.1","361.2","","","","1"
"2017-09","Canada","2016A000011124","Urban transit systems [485110]","Total passenger trips","Number","223","millions","6","v110673360","1.1.2","160.1","","","","1"
"2017-09","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673361","1.2.1","","..","","","1"
"2017-09","Canada","2016A000011124","Interurban and rural bus transportation [485210]","Total passenger trips","Number","223","millions","6","v110673362","1.2.2","","..","","","1"
"2017-09","Atlantic","","Urban transit systems [485110]","Total revenue, excluding subsidies","Dollars","81","millions","6","v110673363","2.1.1","","..","","","1"
